Serial-No,Period,Age-group,Income-Level," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,Airtime-Data-bundles
4247,20/07/2021,Millennials,Middle Income,More,Same,Same
4248,20/07/2021,Millennials,High Income,Same,Same,Same
4249,20/07/2021,Millennials,Middle Income,Same,Same,More
4250,20/07/2021,Millennials,Middle Income,Same,Same,More
4251,20/07/2021,Millennials,Middle Income,Same,More,Don't Know or Don't Buy
4252,20/07/2021,Gen X,Middle Income,Don't Know or Don't Buy,Don't Know or Don't Buy,Don't Know or Don't Buy
4253,20/07/2021,Millennials,Middle Income,More,More,Same
4254,20/07/2021,Millennials,Middle Income,Same,Less,Same
4255,20/07/2021,Millennials,Middle Income,Same,Same,Same
4256,20/07/2021,Millennials,Middle Income,Same,Same,Same
4257,20/07/2021,Millennials,Middle Income,Same,Same,Same
4258,20/07/2021,Millennials,Middle Income,More,More,Same
4259,20/07/2021,Gen X,Middle Income,Same,Same,More
4260,20/07/2021,Millennials,Middle Income,Same,Same,More
4261,20/07/2021,Gen X,Low Income,Less,Same,Same
4262,20/07/2021,Millennials,Middle Income,More,Same,Same
4263,20/07/2021,Gen X,Middle Income,Same,Less,Same
4264,20/07/2021,Baby Boomers,Low Income,Same,Less,Same
4265,20/07/2021,Gen Z,Low Income,Same,Less,Same
4266,20/07/2021,Millennials,Middle Income,More,Same,Same
4267,20/07/2021,Millennials,Low Income,Less,Less,Same
4268,20/07/2021,Millennials,Low Income,Less,Less,More
4269,20/07/2021,Gen X,Low Income,Same,Same,Same
4270,20/07/2021,Millennials,Middle Income,Same,More,Same
4271,20/07/2021,Gen X,High Income,Same,Same,More
4272,20/07/2021,Gen X,High Income,Same,Same,More
4273,20/07/2021,Millennials,Middle Income,Same,Same,More
4274,20/07/2021,Baby Boomers,Middle Income,Same,Less,Don't Know or Don't Buy
4275,20/07/2021,Baby Boomers,High Income,Same,More,Same
4276,20/07/2021,Baby Boomers,Middle Income,Same,More,More
4277,20/07/2021,Baby Boomers,Middle Income,More,More,More
4278,20/07/2021,Baby Boomers,Middle Income,More,More,Don't Know or Don't Buy
4279,20/07/2021,Millennials,Middle Income,Same,Same,Same
4280,20/07/2021,Millennials,Low Income,More,More,Less
4281,20/07/2021,Gen X,High Income,Same,Same,Less
4282,20/07/2021,Gen Z,Low Income,More,More,Less
4283,20/07/2021,Millennials,Middle Income,More,More,Less
4284,20/07/2021,Millennials,Low Income,Same,Same,Same
4285,20/07/2021,Baby Boomers,Middle Income,More,More,Same
4286,20/07/2021,Gen X,Low Income,Same,Less,Same
4287,20/07/2021,Millennials,Middle Income,Same,Same,Same
4288,20/07/2021,Millennials,Middle Income,Same,Same,Same
4289,20/07/2021,Millennials,Low Income,Same,Same,Same
4290,20/07/2021,Gen X,High Income,Same,Same,Same
4291,20/07/2021,Gen X,Middle Income,Same,More,Same
4292,20/07/2021,Gen X,Middle Income,Less,Less,Less
4293,20/07/2021,Baby Boomers,Middle Income,Same,More,More
4294,20/07/2021,Gen Z,Middle Income,Less,Less,Less
4295,20/07/2021,Baby Boomers,Middle Income,More,Same,More
4296,20/07/2021,Baby Boomers,Middle Income,More,More,More
4297,20/07/2021,Baby Boomers,Middle Income,More,More,More
4298,20/07/2021,Millennials,Middle Income,Same,Same,Same
4299,20/07/2021,Baby Boomers,Middle Income,More,More,More
4300,20/07/2021,Gen X,Middle Income,Same,Same,Same
4301,20/07/2021,Millennials,Low Income,Same,Same,Same
4302,20/07/2021,Millennials,Low Income,Same,Same,Same
4303,20/07/2021,Millennials,Low Income,Same,Same,Same
4304,20/07/2021,Gen Z,Middle Income,Same,Same,Same
4305,20/07/2021,Millennials,Middle Income,Same,Same,Same
4306,20/07/2021,Gen Z,Middle Income,Same,Same,Same
4307,20/07/2021,Millennials,Low Income,Less,Less,Less
4308,20/07/2021,Millennials,Middle Income,Same,Same,Same
4309,20/07/2021,Millennials,Middle Income,Same,Same,Same
4310,20/07/2021,Millennials,Middle Income,Less,Less,More
4311,20/07/2021,Gen X,Middle Income,More,More,More
4312,20/07/2021,Gen X,Middle Income,Same,Same,Same
4313,20/07/2021,Millennials,Low Income,Same,More,Same
4314,20/07/2021,Gen X,Middle Income,Same,Same,More
4315,20/07/2021,Millennials,Middle Income,Same,Same,Same
4316,20/07/2021,Millennials,Middle Income,Same,Same,Same
4317,20/07/2021,Gen X,Middle Income,Less,Less,Same
4318,20/07/2021,Millennials,Middle Income,Same,Same,More
4319,20/07/2021,Millennials,High Income,Same,Same,More
4320,20/07/2021,Gen Z,Middle Income,Same,Same,Same
4321,20/07/2021,Gen X,Middle Income,Same,Same,Same
4322,20/07/2021,Baby Boomers,High Income,Same,Same,More
4323,20/07/2021,Gen Z,Low Income,More,Same,Same
4324,20/07/2021,Gen Z,Low Income,More,More,More
4325,20/07/2021,Millennials,Middle Income,Less,Less,Less
4326,20/07/2021,Gen Z,Middle Income,Less,Less,Same
4327,20/07/2021,Millennials,Low Income,Less,Less,Less
4328,20/07/2021,Millennials,Middle Income,Same,Same,Same
4329,20/07/2021,Gen X,Low Income,Less,Less,Less
4330,20/07/2021,Gen X,Middle Income,Same,Same,Same
4331,20/07/2021,Gen X,Middle Income,Same,Same,Same
4332,20/07/2021,Gen Z,High Income,Same,Same,Same
4333,20/07/2021,Millennials,Middle Income,Same,Same,Same
4334,20/07/2021,Gen X,Middle Income,Same,Same,Same
4335,20/07/2021,Millennials,Middle Income,Same,Same,Same
4336,20/07/2021,Millennials,Middle Income,Same,Same,Less
4337,20/07/2021,Millennials,Middle Income,Same,Less,More
4338,20/07/2021,Millennials,Low Income,Same,Same,Same
4339,20/07/2021,Gen X,Middle Income,Same,Same,Same
4340,20/07/2021,Millennials,Middle Income,Same,Same,Same
4341,20/07/2021,Baby Boomers,Middle Income,Same,Same,Same
4342,20/07/2021,Gen X,Middle Income,Less,Less,Less
4343,20/07/2021,Baby Boomers,Middle Income,Same,Same,Same
4344,20/07/2021,Millennials,Low Income,Same,Same,Less
4345,20/07/2021,Millennials,Low Income,Same,Same,Same
4346,20/07/2021,Millennials,Middle Income,Same,Same,Same
4347,20/07/2021,Baby Boomers,Middle Income,Same,More,Less
4348,20/07/2021,Millennials,Low Income,Same,Same,More
4349,20/07/2021,Millennials,Low Income,Less,Less,Less
4350,20/07/2021,Millennials,Middle Income,More,More,Same
4351,20/07/2021,Millennials,Low Income,Same,More,More
4352,20/07/2021,Gen X,Middle Income,More,Same,Same
4353,20/07/2021,Gen Z,Middle Income,Same,More,Same
4354,20/07/2021,Gen X,Middle Income,More,Same,Same
4355,20/07/2021,Gen Z,Middle Income,Same,Less,Same
4356,20/07/2021,Gen X,Middle Income,Same,More,Same
4357,20/07/2021,Millennials,Middle Income,More,Same,Same
4358,20/07/2021,Gen X,Middle Income,Same,Same,More
4359,20/07/2021,Gen X,Middle Income,Same,Less,Same
4360,20/07/2021,Millennials,Low Income,Same,Same,Same
4361,20/07/2021,Baby Boomers,High Income,More,More,Same
4362,20/07/2021,Gen X,Middle Income,More,Same,Same
4363,20/07/2021,Millennials,Middle Income,Same,Same,More
4364,20/07/2021,Millennials,Middle Income,Same,Less,Same
4365,20/07/2021,Millennials,Middle Income,Same,Same,Same
4366,20/07/2021,Gen Z,Middle Income,Same,Same,Same
4367,20/07/2021,Millennials,Low Income,Same,Same,Same
4368,20/07/2021,Gen X,High Income,Same,Same,Same
4369,20/07/2021,Baby Boomers,Middle Income,Same,Same,Same
4370,20/07/2021,Millennials,Middle Income,More,More,More
4371,20/07/2021,Millennials,Middle Income,More,Same,Same
4372,20/07/2021,Gen Z,Low Income,Same,Same,Less
4373,20/07/2021,Millennials,Low Income,Same,Less,Same
4374,20/07/2021,Gen X,Low Income,Same,More,Less
4375,20/07/2021,Gen X,Low Income,Same,Same,More
4376,20/07/2021,Millennials,Middle Income,Same,Less,Same
4377,20/07/2021,Gen X,Low Income,Less,Less,More
4378,20/07/2021,Baby Boomers,Low Income,Same,Same,Same
4379,20/07/2021,Gen X,Middle Income,Same,Same,Same
4380,20/07/2021,Baby Boomers,Middle Income,Same,Same,Same
4381,20/07/2021,Millennials,Low Income,Same,Same,Same
4382,20/07/2021,Millennials,Low Income,More,More,More
4383,20/07/2021,Gen X,Middle Income,More,More,More
4384,20/07/2021,Gen X,Middle Income,Less,Same,More
4385,20/07/2021,Millennials,Low Income,Less,Same,Same
4386,20/07/2021,Millennials,Middle Income,Same,More,Same
4387,20/07/2021,Millennials,Middle Income,Less,Same,Same
4388,20/07/2021,Millennials,Low Income,Less,Same,Same
4389,20/07/2021,Millennials,Middle Income,Less,Same,Same
4390,20/07/2021,Millennials,Low Income,Less,Same,Same
4391,20/07/2021,Gen X,Low Income,Less,Same,Same
4392,20/07/2021,Millennials,Low Income,Less,Same,Same
4393,20/07/2021,Millennials,Low Income,Less,Same,Same
4394,20/07/2021,Millennials,Low Income,Less,Same,Same
4395,20/07/2021,Millennials,Low Income,Same,Same,Same
4396,20/07/2021,Gen X,Middle Income,More,Same,Same
4397,20/07/2021,Millennials,Middle Income,Less,Same,More
4398,20/07/2021,Gen X,High Income,Less,Less,Same
4399,20/07/2021,Millennials,High Income,Same,Less,Less
4400,20/07/2021,Millennials,Low Income,Less,Less,More
4401,20/07/2021,Millennials,Middle Income,Same,Same,Same
4402,20/07/2021,Gen X,High Income,Same,Same,Less
4403,20/07/2021,Millennials,High Income,Less,Less,Less
4404,20/07/2021,Millennials,High Income,Less,Less,Less
4405,20/07/2021,Gen Z,Low Income,Same,Same,Same
4406,20/07/2021,Gen X,Low Income,Same,Same,Same
4407,20/07/2021,Millennials,Middle Income,More,More,More
4408,20/07/2021,Millennials,Middle Income,Same,Same,More
4409,20/07/2021,Millennials,Middle Income,Same,More,More
4410,20/07/2021,Millennials,Middle Income,Same,Same,Same
4411,20/07/2021,Millennials,Middle Income,More,More,More
4412,20/07/2021,Millennials,Middle Income,Same,Same,More
4413,20/07/2021,Millennials,Middle Income,More,More,Same
4414,20/07/2021,Millennials,Middle Income,More,More,More
4415,20/07/2021,Gen X,Middle Income,Same,Same,More
4416,20/07/2021,Millennials,Middle Income,Same,More,Same
4417,20/07/2021,Gen X,Low Income,Same,Same,Same
4418,20/07/2021,Gen Z,Middle Income,Same,More,Same
4419,20/07/2021,Millennials,Low Income,More,Same,Same
4420,20/07/2021,Millennials,Low Income,More,More,More
4421,20/07/2021,Millennials,Low Income,More,More,More
4422,20/07/2021,Millennials,Middle Income,Same,More,More
4423,20/07/2021,Gen Z,Low Income,Same,More,More
4424,20/07/2021,Millennials,Low Income,More,More,More
4425,20/07/2021,Gen Z,Low Income,Same,Same,More
4426,20/07/2021,Gen Z,Low Income,Same,Same,More
4427,20/07/2021,Gen X,Middle Income,More,More,More
4428,20/07/2021,Millennials,Low Income,Same,Same,More
4429,20/07/2021,Gen Z,Low Income,Same,Same,More
4430,20/07/2021,Gen X,Middle Income,Same,Same,Same
4431,20/07/2021,Millennials,Low Income,Same,Same,More
4432,20/07/2021,Gen X,Middle Income,More,More,Less
4433,20/07/2021,Gen X,Middle Income,Same,Same,More
4434,20/07/2021,Baby Boomers,Middle Income,More,More,More
4435,20/07/2021,Gen X,Middle Income,Same,Same,Same
4436,20/07/2021,Gen X,High Income,More,More,More
4437,20/07/2021,Millennials,Low Income,Same,Same,More
4438,20/07/2021,Baby Boomers,High Income,Same,Same,Same
4439,20/07/2021,Millennials,Low Income,Same,Same,Same
4440,20/07/2021,Gen X,Middle Income,More,More,Same
4441,20/07/2021,Millennials,Low Income,More,More,Less
4442,20/07/2021,Gen Z,Low Income,Same,Same,Same
4443,20/07/2021,Gen X,Low Income,Less,Less,Less
4444,20/07/2021,Gen X,Middle Income,Same,Same,Same
4445,20/07/2021,Gen X,Middle Income,Same,Same,Same
4446,20/07/2021,Millennials,Middle Income,More,Same,Less
4447,20/07/2021,Baby Boomers,Low Income,Less,Less,Less
4448,20/07/2021,Millennials,Low Income,Same,Same,Less
4449,20/07/2021,Gen X,Middle Income,Same,Same,Same
4450,20/07/2021,Millennials,Low Income,Same,Same,Less
4451,20/07/2021,Millennials,Low Income,Less,Less,Less
4452,20/07/2021,Gen X,Middle Income,Same,Same,Same
4453,20/07/2021,Baby Boomers,Middle Income,More,More,More
4454,20/07/2021,Gen Z,Low Income,Same,Same,Same
4455,20/07/2021,Gen X,Middle Income,Same,Same,Same
4456,20/07/2021,Baby Boomers,Middle Income,More,More,Same
4457,20/07/2021,Millennials,Middle Income,Same,Same,Same
4458,20/07/2021,Millennials,Middle Income,Same,Same,Same
4459,20/07/2021,Gen Z,Low Income,Same,Same,Same
4460,20/07/2021,Millennials,Low Income,Same,Same,Less
4461,20/07/2021,Gen X,Low Income,Same,Same,Same
4462,20/07/2021,Millennials,Middle Income,More,More,Same
4463,20/07/2021,Millennials,Middle Income,Same,More,Same
4464,20/07/2021,Millennials,Middle Income,Same,More,Same
4465,20/07/2021,Gen X,Middle Income,More,Don't Know or Don't Buy,Same
4466,20/07/2021,Millennials,Low Income,Same,Same,Same
4467,20/07/2021,Millennials,Middle Income,Same,Same,Same
4468,20/07/2021,Millennials,Middle Income,Same,Don't Know or Don't Buy,Same
4469,20/07/2021,Millennials,Low Income,Less,More,More
4470,20/07/2021,Millennials,Low Income,Less,Same,Same
4471,20/07/2021,Millennials,Low Income,Less,Same,Same
4472,20/07/2021,Millennials,Low Income,Less,Same,More
4473,20/07/2021,Gen X,Middle Income,Less,Same,Same
4474,20/07/2021,Millennials,Middle Income,Same,Same,Same
4475,20/07/2021,Baby Boomers,Middle Income,Less,Less,Less
4476,20/07/2021,Millennials,Middle Income,Same,Same,Same
4477,20/07/2021,Gen X,Middle Income,Same,Same,Same
4478,20/07/2021,Millennials,Low Income,Same,Same,Same
4479,20/07/2021,Millennials,Middle Income,Same,Same,Same
4480,20/07/2021,Millennials,Middle Income,Same,Same,Same
4481,20/07/2021,Millennials,Middle Income,Same,Same,Same
4482,20/07/2021,Baby Boomers,Middle Income,Same,Don't Know or Don't Buy,Same
4483,20/07/2021,Millennials,Low Income,Less,Same,Same
4484,20/07/2021,Baby Boomers,Middle Income,Same,More,Same
4485,20/07/2021,Gen X,Middle Income,Less,Same,Same
4486,20/07/2021,Gen X,Middle Income,Same,Same,Same
4487,20/07/2021,Millennials,Low Income,Same,Same,Less
4488,20/07/2021,Millennials,Middle Income,Same,More,Same
4489,20/07/2021,Millennials,Middle Income,Same,Same,More
4490,20/07/2021,Millennials,Middle Income,Same,Same,More
4491,20/07/2021,Gen X,Middle Income,Don't Know or Don't Buy,Less,Less
4492,20/07/2021,Millennials,Middle Income,Same,Same,Same
4493,20/07/2021,Millennials,Middle Income,Same,Less,Same
4494,20/07/2021,Millennials,Middle Income,Same,Same,More
4495,20/07/2021,Millennials,Low Income,More,More,Less
4496,20/07/2021,Gen Z,Low Income,Same,Same,Less
4497,20/07/2021,Millennials,Low Income,Same,Same,Less
4498,20/07/2021,Gen Z,Low Income,More,More,Less
4499,20/07/2021,Millennials,Low Income,More,More,Less
4500,20/07/2021,Millennials,Low Income,More,More,Less
4501,20/07/2021,Millennials,Low Income,Same,Same,Less
4502,20/07/2021,Millennials,Low Income,More,More,Less
4503,20/07/2021,Millennials,Middle Income,More,More,Less
4504,20/07/2021,Millennials,Low Income,More,More,Less
4505,20/07/2021,Millennials,Low Income,More,More,Less
4506,20/07/2021,Millennials,Low Income,More,More,Same
4507,20/07/2021,Millennials,Low Income,More,More,Less
4508,20/07/2021,Millennials,Low Income,More,More,Less
4509,20/07/2021,Millennials,Low Income,More,More,Less
4510,20/07/2021,Millennials,Low Income,More,More,Same
4511,20/07/2021,Millennials,Low Income,More,More,Less
4512,20/07/2021,Millennials,Middle Income,More,More,Less
4513,20/07/2021,Millennials,Low Income,More,More,More
4514,20/07/2021,Millennials,Low Income,More,More,Same
4515,20/07/2021,Millennials,Middle Income,More,More,Less
4516,20/07/2021,Gen X,Middle Income,Same,Same,More
4517,20/07/2021,Millennials,Low Income,More,More,Same
4518,20/07/2021,Millennials,Middle Income,More,More,Same
4519,20/07/2021,Millennials,Low Income,More,More,Same
4520,20/07/2021,Millennials,Middle Income,More,More,Same
4521,20/07/2021,Gen Z,Low Income,Same,Same,Same
4522,20/07/2021,Millennials,Low Income,Same,Same,More
4523,20/07/2021,Millennials,Middle Income,Same,Same,More
4524,20/07/2021,Gen X,Middle Income,Same,Same,Same
4525,20/07/2021,Millennials,Middle Income,Same,Same,Less
4526,20/07/2021,Millennials,Low Income,Less,More,More
4527,20/07/2021,Millennials,Middle Income,More,More,Less
4528,20/07/2021,Baby Boomers,Middle Income,Same,Same,Same
4529,20/07/2021,Gen X,Middle Income,Same,Same,Less
4530,20/07/2021,Millennials,Middle Income,Same,Same,Same
4531,20/07/2021,Gen Z,Low Income,Less,Same,Same
4532,20/07/2021,Millennials,Middle Income,Same,Same,Same
4533,20/07/2021,Gen X,Middle Income,Same,Same,More
4534,20/07/2021,Gen X,Middle Income,Same,Same,Same
4535,20/07/2021,Millennials,Middle Income,Same,Same,Less
4536,20/07/2021,Gen X,Middle Income,Same,Same,Same
4537,20/07/2021,Millennials,Middle Income,Same,Same,Same
4538,20/07/2021,Millennials,Middle Income,Same,Same,Less
4539,20/07/2021,Baby Boomers,Middle Income,Same,Same,Less
4540,20/07/2021,Millennials,Middle Income,Same,Same,Less
4541,20/07/2021,Gen X,Middle Income,Same,Same,Same
4542,20/07/2021,Millennials,Middle Income,Same,Same,Same
4543,20/07/2021,Millennials,Middle Income,Same,Same,Same
4544,20/07/2021,Millennials,Middle Income,Same,Same,Same
4545,20/04/2021,Millennials,Low Income,More,More,Same
4546,20/04/2021,Millennials,Low Income,Same,Same,Same
4547,20/04/2021,Gen Z,Low Income,More,More,More
4548,20/04/2021,Millennials,Low Income,More,More,More
4549,20/04/2021,Gen X,Low Income,Same,Less,Less
4550,20/04/2021,Millennials,Middle Income,More,More,More
4551,20/04/2021,Millennials,Low Income,Same,Same,More
4552,20/04/2021,Gen X,High Income,Same,Less,Less
4553,20/04/2021,Gen Z,Low Income,More,More,Same
4554,20/04/2021,Millennials,Low Income,More,More,Same
4555,20/04/2021,Gen X,Low Income,Same,Same,Same
4556,20/04/2021,Baby Boomers,High Income,Same,Same,More
4557,20/04/2021,Millennials,Middle Income,More,More,Same
4558,20/04/2021,Millennials,Low Income,Same,Same,More
4559,20/04/2021,Baby Boomers,Middle Income,Same,Same,More
4560,20/04/2021,Millennials,Middle Income,Same,Same,More
4561,20/04/2021,Gen X,High Income,Same,Same,More
4562,20/04/2021,Millennials,Low Income,Same,Same,Same
4563,20/04/2021,Millennials,Low Income,Same,Less,More
4564,20/04/2021,Millennials,Middle Income,More,Same,More
4565,20/04/2021,Millennials,Middle Income,More,Same,More
4566,20/04/2021,Gen X,Low Income,Same,Same,Same
4567,20/04/2021,Millennials,Middle Income,Same,More,Same
4568,20/04/2021,Millennials,Low Income,Same,More,Same
4569,20/04/2021,Millennials,Low Income,More,Same,Same
4570,20/04/2021,Millennials,Middle Income,Same,More,Same
4571,20/04/2021,Millennials,Middle Income,Same,More,More
4572,20/04/2021,Millennials,Low Income,More,Same,More
4573,20/04/2021,Millennials,Middle Income,Same,Less,Same
4574,20/04/2021,Millennials,Middle Income,More,More,More
4575,20/04/2021,Millennials,Middle Income,More,More,Same
4576,20/04/2021,Millennials,Middle Income,Same,More,More
4577,20/04/2021,Baby Boomers,Middle Income,Same,Same,Same
4578,20/04/2021,Millennials,Middle Income,Same,More,Same
4579,20/04/2021,Millennials,Low Income,Same,More,Same
4580,20/04/2021,Millennials,Low Income,Same,Same,Same
4581,20/04/2021,Millennials,Low Income,Same,Same,More
4582,20/04/2021,Millennials,Low Income,Same,Same,Less
4583,20/04/2021,Gen X,Middle Income,Same,Same,More
4584,20/04/2021,Millennials,High Income,Same,Same,Same
4585,20/04/2021,Millennials,Low Income,Same,Same,Same
4586,20/04/2021,Baby Boomers,High Income,Same,More,More
4587,20/04/2021,Millennials,Low Income,Same,Same,Same
4588,20/04/2021,Millennials,Low Income,Same,Less,Same
4589,20/04/2021,Gen X,Middle Income,Less,Less,Same
4590,20/04/2021,Millennials,High Income,Same,Same,Same
4591,20/04/2021,Millennials,Middle Income,Same,Less,Same
4592,20/04/2021,Gen X,Middle Income,Same,Same,More
4593,20/04/2021,Millennials,Middle Income,Same,Same,Less
4594,20/04/2021,Gen X,Middle Income,Same,Same,Same
4595,20/04/2021,Millennials,Low Income,Less,Less,Less
4596,20/04/2021,Gen Z,Middle Income,Same,Same,Same
4597,20/04/2021,Gen Z,Middle Income,Less,Less,Less
4598,20/04/2021,Millennials,Middle Income,Same,Same,Less
4599,20/04/2021,Millennials,Low Income,More,More,Same
4600,20/04/2021,Millennials,Low Income,More,More,Same
4601,20/04/2021,Millennials,Low Income,Less,Less,Less
4602,20/04/2021,Gen Z,Middle Income,Same,Same,Less
4603,20/04/2021,Millennials,Low Income,Same,Same,Same
4604,20/04/2021,Gen X,High Income,More,More,More
4605,20/04/2021,Millennials,Low Income,Less,Less,Less
4606,20/04/2021,Millennials,Low Income,Less,Less,Less
4607,20/04/2021,Millennials,Low Income,Same,Same,Same
4608,20/04/2021,Gen X,Middle Income,Same,Same,More
4609,20/04/2021,Gen X,Middle Income,Same,Same,Same
4610,20/04/2021,Baby Boomers,Middle Income,Same,Same,More
4611,20/04/2021,Millennials,Middle Income,Same,Same,More
4612,20/04/2021,Baby Boomers,Middle Income,Same,Same,More
4613,20/04/2021,Millennials,Low Income,Same,Same,Less
4614,20/04/2021,Millennials,Low Income,Less,Less,Less
4615,20/04/2021,Millennials,Low Income,Same,Same,Same
4616,20/04/2021,Gen X,Middle Income,Same,Same,Same
4617,20/04/2021,Millennials,Low Income,Less,Less,Less
4618,20/04/2021,Millennials,Low Income,Same,Less,More
4619,20/04/2021,Millennials,Low Income,Same,Same,Same
4620,20/04/2021,Millennials,Low Income,More,More,More
4621,20/04/2021,Millennials,Middle Income,More,More,More
4622,20/04/2021,Gen X,Middle Income,More,More,More
4623,20/04/2021,Gen X,Middle Income,More,More,More
4624,20/04/2021,Millennials,Low Income,Same,More,More
4625,20/04/2021,Baby Boomers,Low Income,More,More,More
4626,20/04/2021,Gen Z,Low Income,More,More,More
4627,20/04/2021,Millennials,Low Income,More,More,More
4628,20/04/2021,Millennials,Low Income,More,More,More
4629,20/04/2021,Gen Z,Low Income,More,More,More
4630,20/04/2021,Millennials,Middle Income,More,More,More
4631,20/04/2021,Gen X,Middle Income,Same,Same,Same
4632,20/04/2021,Millennials,Low Income,Same,Same,Same
4633,20/04/2021,Gen X,Middle Income,Same,Same,Same
4634,20/04/2021,Millennials,Middle Income,Same,More,Same
4635,20/04/2021,Millennials,Middle Income,Same,Same,Same
4636,20/04/2021,Millennials,High Income,Same,Same,More
4637,20/04/2021,Millennials,Middle Income,Same,Same,Same
4638,20/04/2021,Gen X,Middle Income,Same,Same,More
4639,20/04/2021,Gen X,High Income,Same,Same,More
4640,20/04/2021,Gen Z,Low Income,More,More,Same
4641,20/04/2021,Millennials,Middle Income,Same,More,Same
4642,20/04/2021,Millennials,Middle Income,More,More,Same
4643,20/04/2021,Millennials,Middle Income,More,More,Same
4644,20/04/2021,Millennials,Middle Income,More,More,Same
4645,20/04/2021,Gen X,Middle Income,More,More,More
4646,20/04/2021,Millennials,Middle Income,More,More,Same
4647,20/04/2021,Gen Z,Middle Income,Same,Same,Less
4648,20/04/2021,Millennials,Middle Income,More,Same,Same
4649,20/04/2021,Gen X,Middle Income,Same,Same,Same
4650,20/04/2021,Millennials,Middle Income,Same,Same,More
4651,20/04/2021,Millennials,Middle Income,More,More,Same
4652,20/04/2021,Millennials,Middle Income,Same,More,More
4653,20/04/2021,Millennials,Middle Income,Same,More,More
4654,20/04/2021,Millennials,Low Income,Less,Same,Less
4655,20/04/2021,Millennials,Low Income,Same,Same,Same
4656,20/04/2021,Millennials,Middle Income,More,More,More
4657,20/04/2021,Millennials,Low Income,Same,Same,Same
4658,20/04/2021,Millennials,Middle Income,Less,Less,Less
4659,20/04/2021,Millennials,Low Income,Same,Same,Same
4660,20/04/2021,Millennials,Middle Income,Same,Same,Same
4661,20/04/2021,Gen Z,Low Income,Same,Less,More
4662,20/04/2021,Millennials,Low Income,Same,Same,Same
4663,20/04/2021,Millennials,Low Income,Same,Same,Same
4664,20/04/2021,Millennials,Low Income,Same,Same,Same
4665,20/04/2021,Millennials,Low Income,Same,Same,Same
4666,20/04/2021,Millennials,Low Income,Same,Same,Same
4667,20/04/2021,Millennials,Middle Income,Less,Same,More
4668,20/04/2021,Millennials,Low Income,Same,Same,Same
4669,20/04/2021,Millennials,Middle Income,Less,Less,Same
4670,20/04/2021,Millennials,Low Income,Same,Same,Same
4671,20/04/2021,Millennials,Low Income,Same,Same,Same
4672,20/04/2021,Millennials,Middle Income,Same,Same,Same
4673,20/04/2021,Millennials,Low Income,Same,Same,Same
4674,20/04/2021,Millennials,Low Income,Less,Same,Less
4675,20/04/2021,Gen X,Low Income,More,Same,Same
4676,20/04/2021,Millennials,Low Income,Less,Less,Less
4677,20/04/2021,Millennials,Middle Income,Same,Same,More
4678,20/04/2021,Millennials,Low Income,Less,Less,Same
4679,20/04/2021,Millennials,Low Income,Same,Same,More
4680,20/04/2021,Gen X,Middle Income,Less,Less,Same
4681,20/04/2021,Gen X,Middle Income,More,More,More
4682,20/04/2021,Gen X,Low Income,Less,Less,More
4683,20/04/2021,Gen X,Middle Income,Don't Know or Don't Buy,More,More
4684,20/04/2021,Gen X,High Income,More,More,More
4685,20/04/2021,Gen X,Low Income,More,More,Same
4686,20/04/2021,Millennials,Middle Income,Same,More,More
4687,20/04/2021,Gen Z,Low Income,Same,Same,More
4688,20/04/2021,Gen X,Middle Income,Less,Less,More
4689,20/04/2021,Millennials,Middle Income,More,More,Same
4690,20/04/2021,Gen X,Middle Income,Same,Same,More
4691,20/04/2021,Gen X,Low Income,More,Same,More
4692,20/04/2021,Gen X,Middle Income,More,More,Same
4693,20/04/2021,Millennials,Middle Income,Same,Same,More
4694,20/04/2021,Millennials,Low Income,Same,Same,More
4695,20/04/2021,Baby Boomers,Middle Income,Less,More,More
4696,20/04/2021,Millennials,Middle Income,Less,Same,More
4697,20/04/2021,Millennials,Middle Income,Same,Same,Same
4698,20/04/2021,Millennials,Low Income,Less,Less,More
4699,20/04/2021,Gen X,Middle Income,Less,Same,More
4700,20/04/2021,Millennials,Low Income,Less,Same,Less
4701,20/04/2021,Millennials,Low Income,Same,Less,Same
4702,20/04/2021,Millennials,Low Income,Less,Less,Less
4703,20/04/2021,Millennials,Middle Income,Same,More,Same
4704,20/04/2021,Millennials,Middle Income,More,More,More
4705,20/04/2021,Gen X,High Income,More,More,More
4706,20/04/2021,Gen X,Middle Income,More,More,More
4707,20/04/2021,Millennials,Middle Income,More,More,More
4708,20/04/2021,Millennials,Middle Income,More,More,More
4709,20/04/2021,Millennials,Middle Income,More,Same,Same
4710,20/04/2021,Millennials,Middle Income,More,More,Same
4711,20/04/2021,Gen X,Middle Income,More,More,Same
4712,20/04/2021,Millennials,Middle Income,More,More,More
4713,20/04/2021,Gen Z,Low Income,More,More,Same
4714,20/04/2021,Gen X,High Income,More,More,More
4715,20/04/2021,Millennials,Middle Income,More,More,More
4716,20/04/2021,Gen X,High Income,More,More,More
4717,20/04/2021,Gen X,Middle Income,More,Same,More
4718,20/04/2021,Millennials,Middle Income,Same,Same,More
4719,20/04/2021,Millennials,Low Income,Same,Same,Same
4720,20/04/2021,Gen X,Low Income,Less,Same,Same
4721,20/04/2021,Millennials,Middle Income,Same,Same,More
4722,20/04/2021,Millennials,Low Income,Same,Same,Same
4723,20/04/2021,Gen X,Middle Income,Same,Same,Same
